Title,Author,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Year Read,Month Read
The Night Circus,Erin Morgenstern,5,4.01,Doubleday,506,2011,2011,29/07/2021,12/07/2021,2021,7
Everything I Never Told You,Celeste Ng,5,3.84,Penguin Press,297,2014,2014,26/07/2021,19/07/2021,2021,7
Exciting Times,Naoise Dolan,2,3.22,Ecco,243,2020,2020,23/07/2021,01/05/2021,2021,7
Such a Fun Age,Kiley Reid,5,3.78,G.P. Putnam's Sons,310,2019,2019,18/05/2021,26/03/2021,2021,5
"Tales from the Café (Before the Coffee Gets Cold, #2)",Toshikazu Kawaguchi,3,3.99,Picador,192,2020,2017,19/05/2021,16/05/2021,2021,5
"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,3,4.1,Atlantic Books,248,2017,2007,30/04/2021,16/04/2021,2021,4
The Memory Police,Yōko Ogawa,2,3.72,Pantheon,274,2019,1994,20/07/2021,13/05/2021,2021,7
In at the Deep End,Kate  Davies,3,3.51,Houghton Mifflin Harcourt,336,2019,2019,18/07/2021,12/07/2021,2021,7
Braised Pork,An Yu,5,3.45,Harvill Secker,240,2020,2020,11/07/2021,05/07/2021,2021,7
The Death of Vivek Oji,Akwaeke Emezi,5,4.13,Riverhead Books,248,2020,2020,09/07/2021,19/04/2021,2021,7
The Master's Tools Will Never Dismantle the Master's House,Audre Lorde,5,4.55,PENGUIN UK,51,2018,2018,04/07/2021,03/07/2021,2021,7
Seven Days in June,Tia Williams,3,4.01,Grand Central Publishing,336,2021,2021,02/07/2021,27/06/2021,2021,7
Kafka on the Shore,Haruki Murakami,5,4.13,Vintage International,467,2006,2002,28/06/2021,16/05/2021,2021,6
She of the Mountains,Vivek Shraya,4,4.07,Arsenal Pulp Press,128,2014,2014,30/06/2021,28/06/2021,2021,6
Eleanor Oliphant Is Completely Fine,Gail Honeyman,4,4.23,Pamela Dorman Books / Viking,336,2017,2017,27/06/2021,30/04/2021,2021,6
Giovanni’s Room,James Baldwin,4,4.33,Penguin,159,2000,1956,18/06/2021,16/06/2021,2021,6
Surfacing,Margaret Atwood,2,3.45,Anchor,199,1998,1972,16/06/2021,13/06/2021,2021,6
Circe,Madeline Miller,5,4.23,"Little, Brown and Company",393,2018,2018,12/06/2021,02/06/2021,2021,6
The Best Girls,Min Jin Lee,4,3.95,Amazon Original Stories,20,2019,2019,01/06/2021,01/06/2021,2021,6
Jonny Appleseed,Joshua Whitehead,5,3.95,Arsenal Pulp Press,224,2018,2018,01/06/2021,26/05/2021,2021,6
Bunny,Mona Awad,3,3.49,Viking,307,2019,2019,25/05/2021,22/05/2021,2021,5
Daisy Jones & The Six,Taylor Jenkins Reid,4,4.2,Ballantine Books,368,2019,2019,01/05/2021,28/04/2021,2021,5
Conversations with Friends,Sally Rooney,4,3.75,Hogarth,304,2017,2017,07/05/2021,30/04/2021,2021,5
Normal People,Sally Rooney,5,3.81,Crown,273,2019,2018,15/05/2021,30/04/2021,2021,5
Pachinko,Min Jin Lee,4,4.34,Grand Central Publishing,496,2017,2017,01/06/2020,25/02/2021,2020,6
Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,5,4.38,Bloomsbury Circus,249,2017,2017,01/07/2020,25/02/2021,2020,7
If I Had Your Face,Frances Cha,4,3.74,Ballantine Books,288,2020,2020,01/09/2020,25/02/2021,2020,9
Queenie,Candice Carty-Williams,4,3.86,Orion Publishing,330,2019,2019,01/09/2020,25/02/2021,2020,9
"History of East Asia: A Captivating Guide to the History of China, Japan, Korea and Taiwan (Asian History)",Captivating History,2,3.54,,426,2020,,29/01/2021,25/02/2021,2021,1
How the World Thinks: A Global History of Philosophy,Julian Baggini,1,3.69,Granta Books,398,2018,2018,01/02/2021,26/03/2021,2021,2
Convenience Store Woman,Sayaka Murata,5,3.68,Portobello Books,163,2018,2016,25/02/2021,25/02/2021,2021,2
Breasts and Eggs,Mieko Kawakami,5,3.86,Europa Editions,430,2020,2019,19/03/2021,25/02/2021,2021,3
"A Suitable Boy (A Bridge of Leaves, #1)",Vikram Seth,2,4.12,Harper Perennial Modern Classics,1474,2005,1993,26/03/2021,21/03/2021,2021,3
Lot,Bryan Washington,4,3.76,Riverhead Books,240,2019,2019,07/04/2021,05/04/2021,2021,4
We Should All Be Feminists,Chimamanda Ngozi Adichie,3,4.4,Vintage,65,2014,2012,09/04/2021,09/04/2021,2021,4
"Hear the Wind Sing (The Rat, #1)",Haruki Murakami,5,3.57,Kodansha International Ltd.,130,1979,1979,09/04/2021,06/04/2021,2021,4
"Pinball, 1973 (The Rat, #2)",Haruki Murakami,4,3.51,Kodansha International Ltd.,215,1980,1980,11/04/2021,06/04/2021,2021,4
The Vanishing Half,Brit Bennett,5,4.14,Riverhead Books,343,2020,2020,15/04/2021,26/03/2021,2021,4
"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,5,3.68,Picador,213,2019,2015,25/04/2021,25/02/2021,2021,4
Mr Salary,Sally Rooney,4,3.78,Faber & Faber,33,2019,2016,30/04/2021,30/04/2021,2021,4
An American Marriage,Tayari Jones,3,3.94,Algonquin Books,308,2018,2018,08/05/2021,02/05/2021,2021,5
"The Kiss Quotient (The Kiss Quotient, #1)",Helen Hoang,4,3.89,Berkley,323,2018,2018,09/05/2021,09/05/2021,2021,5
"The Bride Test (The Kiss Quotient, #2)",Helen Hoang,3,3.82,Berkley,320,2019,2019,13/05/2021,09/05/2021,2021,5
Go,Kazuki Kaneshiro,5,3.63,Amazon Crossing,174,2018,2000,16/05/2021,14/05/2021,2021,5
The Vegetarian,Han Kang,5,3.59,Hogarth,188,2016,2007,20/05/2021,17/05/2021,2021,5
Highway with Green Apples,Bae Suah,3,3.1,StoryFront,54,2014,1995,21/05/2021,21/05/2021,2021,5
I've Been Meaning to Tell You: A Letter to My Daughter,David Chariandy,3,4.24,McClelland & Stewart,128,2018,2018,12/04/2021,27/02/2021,2021,4
Luster,Raven Leilani,5,3.52,"Farrar, Straus and Giroux",227,2020,2020,26/04/2021,26/03/2021,2021,4
"Girl, Woman, Other",Bernardine Evaristo,3,4.28,Hamish Hamilton,453,2019,2019,24/04/2021,26/03/2021,2021,4
Burnt Sugar,Avni Doshi,3,3.26,Hamish Hamilton,240,2020,2019,08/04/2021,19/03/2021,2021,4
The White Tiger,Aravind Adiga,5,3.77,Free Press,276,2008,2008,21/03/2021,19/03/2021,2021,3
Funny Boy,Shyam Selvadurai,5,4.05,Harvest,320,1997,1994,02/04/2021,19/03/2021,2021,4
"My Sister, the Serial Killer",Oyinkan Braithwaite,4,3.66,Doubleday,226,2018,2018,01/04/2021,25/03/2021,2021,4
The Tea Planter's Wife,Dinah Jefferies,3,3.8,Viking,435,2015,2015,09/02/2020,21/03/2021,2020,2
"Find Me (Call Me By Your Name, #2)",André Aciman,3,3.26,"Farrar, Straus and Giroux",260,2019,2019,19/03/2021,28/02/2021,2021,3
A Christmas Carol,Charles Dickens,3,4.08,Bethany House Publishers,184,1999,1843,01/12/2020,25/02/2021,2020,12
Pussy: A Reclamation,Regena Thomashauer,3,3.91,Hay House Inc,257,2016,2016,01/01/2020,25/02/2021,2020,1
The Power of Nunchi: The Korean Secret to Happiness and Success,Euny Hong,1,3.42,hutchinson,240,2019,2019,01/01/2020,25/02/2021,2020,1
"Kim Jiyoung, Born 1982",Cho Nam-Joo,5,4.17,Liveright,163,2020,2016,01/01/2020,25/02/2021,2020,1
Memoirs of a Geisha,Arthur Golden,4,4.15,Vintage Books USA,503,2005,1997,01/01/2020,25/02/2021,2020,1
